"filename", "language", "Markdown", "TypeScript", "JSON", "JavaScript", "YAML", "HTML", "TypeScript JSX", "Log", "JSON with Comments", "Ini", "PowerShell", "PostCSS", "MS SQL", "Dotenv", "comment", "blank", "total"
"c:\titan-automation\QuoteVaultPro\PRODUCTION_BACKEND_DERIVATION_FIX.md", "Markdown", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 180
"c:\titan-automation\QuoteVaultPro\PRODUCTION_MEDIA_SIDES_FIX.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 119
"c:\titan-automation\QuoteVaultPro\PRODUCTION_MVP_DEBUG_FIX.md", "Markdown", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 164
"c:\titan-automation\QuoteVaultPro\PRODUCT_BUILDER_V2_OPTION_TREE_ARCHITECTURE.md", "Markdown", 1142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 318, 1460
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\ATTRIBUTIONS.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\guidelines\Guidelines.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 1, 62
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\package.json", "JSON", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\postcss.config.mjs", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 16
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 20, 212
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ConditionalLogicBuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 26, 234
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\OptionDetailPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 372, 0, 0, 0, 0, 0, 0, 0, 9, 29, 410
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\OptionEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 0, 0, 16, 314
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\OptionGroupsSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 7, 188
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\PricingValidationPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 11, 30, 388
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ProductHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 9, 122
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\figma\ImageWithFallback.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 15, 158
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 10, 93
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 28, 242
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 2, 33, 354
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 13, 178
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 19, 253
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 14, 136
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 14, 133
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 25, 169
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 20, 277
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 12, 169
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 14, 190
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 14, 140
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 660, 0, 0, 0, 0, 0, 0, 0, 12, 55, 727
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 6, 64
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 12, 117
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 8, 74
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\use-mobile.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\components\ui\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\data\mockData.ts", "TypeScript", 0, 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 470
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\app\types.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 103
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\styles\fonts.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\styles\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\styles\tailwind.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\src\styles\theme.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 9, 20, 162
"c:\titan-automation\QuoteVaultPro\Pbv2OptionsPage-main\vite.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 20
"c:\titan-automation\QuoteVaultPro\QUICKBOOKS_TESTING_GUIDE.md", "Markdown", 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 445
"c:\titan-automation\QuoteVaultPro\QUOTE_DETAIL_THUMBNAILS_FIX.md", "Markdown", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 133
"c:\titan-automation\QuoteVaultPro\QUOTE_ORDER_DETAIL_AUDIT.md", "Markdown", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 352
